"GAMEID","WEEK","QTR","START","POS","DEF","PASSER","TARGET","AIR YARDS","NOTES","PlayIden","play_id"
6,2,2,"9:42","SEA","TB","B.SILVERS","B.JOHNSON",-3,NA,"6_2_9:42",NA
6,2,2,"8:04","SEA","TB","B.SILVERS","K.REYNOLDS",14,NA,"6_2_8:04",13051
6,2,2,"5:56","TB","SEA","T.CORNELIUS","R.HORN",9,NA,"6_2_5:56",17941
6,2,2,"5:19","TB","SEA","T.CORNELIUS","N.TRUESDELL",-4,NA,"6_2_5:19",NA
6,2,2,"3:21","TB","SEA","T.CORNELIUS","N.TRUESDELL",-4,NA,"6_2_3:21",17954
6,2,2,"1:24","SEA","TB","B.SILVERS","T.WILLIAMS",-5,NA,"6_2_1:24",13160
6,2,2,"1:02","SEA","TB","B.SILVERS","K.REYNOLDS",38,NA,"6_2_1:02",NA
6,2,3,"14:03","SEA","TB","B.SILVERS","C.HAMLETT",5,NA,"6_3_14:03",NA
6,2,3,"12:49","SEA","TB","B.SILVERS","K.REYNOLDS",22,NA,"6_3_12:49",13249
6,2,3,"12:20","SEA","TB","B.SILVERS","C.HAMLETT",2,NA,"6_3_12:20",NA
6,2,3,"11:26","SEA","TB","B.SILVERS","K.REYNOLDS",33,NA,"6_3_11:26",13294
6,2,3,"9:55","TB","SEA","Q.FLOWERS","T.MCEVOY",5,NA,"6_3_9:55",13352
6,2,3,"8:15","SEA","TB","B.SILVERS","D.BYRD",40,NA,"6_3_8:15",NA
6,2,3,"6:15","TB","SEA","Q.FLOWERS","D.WILLIAMS",17,NA,"6_3_6:15",13413
6,2,3,"5:32","TB","SEA","Q.FLOWERS","D.SMITH",-10,NA,"6_3_5:32",NA
6,2,3,"4:56","TB","SEA","T.CORNELIUS","N.TRUESDELL",3,NA,"6_3_4:56",NA
6,2,3,"3:57","TB","SEA","T.CORNELIUS","J.PATRICK",-2,NA,"6_3_3:57",23661
6,2,3,"2:23","TB","SEA","T.CORNELIUS","D.WILLIAMS",2,NA,"6_3_2:23",NA
6,2,3,"0:16","TB","SEA","T.CORNELIUS","R.HORN",3,NA,"6_3_0:16",NA
6,2,4,"13:03","TB","SEA","T.CORNELIUS","J.PATRICK",2,NA,"6_4_13:03",13600
6,2,4,"7:15","SEA","TB","B.SILVERS","A.PROEHL",10,NA,"6_4_7:15",NA
6,2,4,"6:55","TB","SEA","T.CORNELIUS","S.JONES",39,NA,"6_4_6:55",13662
