"DAL_Rating","DC_Rating","HOU_Rating","LA_Rating","NY_Rating","SEA_Rating","STL_Rating","TB_Rating","DAL_Wins","DC_Wins","HOU_Wins","LA_Wins","NY_Wins","SEA_Wins","STL_Wins","TB_Wins","WEST_REG_CHAMP","EAST_REG_CHAMP","WEST_RU","EAST_RU","XFL_RU","XFL_CHAMP","WeeklyWinner1","WeeklyWinner2","WeeklyWinner3","WeeklyWinner4"
1512.44589349834,1502.41431447371,1555.69775335308,1472.33674444065,1532.24156151396,1382.40819183855,1583.78486554534,1458.67067533638,6,6,7,4,6,1,8,2,"HOU","STL","DAL","DC","HOU","STL","NY","STL","HOU","LA"
1462.57117152861,1499.54582107046,1548.12310213335,1514.37487039279,1496.08432303669,1400.94339106677,1563.95355390691,1514.40376686442,3,6,7,6,4,2,7,5,"HOU","STL","HOU","DC","LA","STL","NY","DC","HOU","LA"
1462.05693880126,1433.6496916377,1593.63066415395,1503.91875590755,1524.1435280471,1440.81714511144,1529.43963440183,1512.34364193916,3,2,8,6,6,4,6,5,"HOU","STL","LA","NY","STL","HOU","NY","STL","HOU","LA"
1505.35370020842,1450.67813709436,1546.41487751529,1491.87100741066,1520.49493038883,1422.3515234796,1510.94069967624,1551.8951242266,5,3,7,5,6,3,5,6,"HOU","NY","HOU","NY","DAL","TB","NY","DC","HOU","TB"
1521.38305749937,1509.26308235955,1547.35624714644,1494.39340437212,1512.84826315146,1439.89983621723,1499.2695937218,1475.58651553204,6,5,7,5,5,4,5,3,"HOU","DC","HOU","STL","DAL","DC","NY","DC","HOU","LA"
1495.27105163519,1451.63833636378,1610.02482533572,1437.50880714948,1522.02268895979,1418.42051917559,1552.7392412777,1512.37453010274,5,3,9,2,5,3,8,5,"HOU","STL","DAL","STL","NY","HOU","NY","DC","HOU","TB"
1443.41622917401,1515.05455669637,1609.34636049423,1468.86722298441,1532.74854978889,1419.42926233705,1534.99451266115,1476.1433058639,2,6,9,4,6,3,7,3,"HOU","STL","LA","STL","DC","HOU","NY","DC","HOU","LA"
1506.02629392523,1491.08730697257,1565.39807716919,1474.76441761309,1544.36536304691,1400.47675740382,1562.30256914333,1455.57921472585,5,5,8,4,7,2,7,2,"HOU","STL","HOU","NY","DAL","STL","NY","STL","HOU","TB"
1508.22967153667,1501.30652842969,1583.6540939988,1452.37025937537,1497.69836233755,1420.42789466966,1522.89602037703,1513.41716927523,4,6,9,3,4,3,6,5,"HOU","STL","HOU","DC","STL","DAL","NY","STL","HOU","LA"
1444.93309376703,1497.06186646215,1563.95823633502,1474.97415913445,1533.89915971941,1484.38527244272,1510.44271342329,1490.34549871592,2,6,8,4,6,5,5,4,"HOU","DC","HOU","DC","NY","SEA","NY","DC","HOU","TB"
1532.81563843785,1470.62027299684,1590.7329373986,1436.50130377838,1506.60763057644,1438.82770193868,1530.38549028389,1493.50902458931,7,4,9,2,5,4,5,4,"HOU","STL","DAL","NY","HOU","STL","NY","DC","HOU","LA"
1475.23712564397,1474.61972467988,1608.88028443977,1456.95175398404,1532.99647142051,1399.94197770504,1529.39738590958,1521.97527621721,4,4,9,3,6,2,6,6,"HOU","STL","DAL","TB","STL","HOU","NY","STL","HOU","TB"
1473.05777492002,1471.04471194883,1616.32763938995,1474.55194385062,1536.82774402402,1400.91561393349,1551.70022986193,1475.57434207114,4,4,10,4,5,2,8,3,"LA","STL","DAL","STL","LA","NY","NY","STL","HOU","LA"
1476.772122927,1434.10226638898,1610.10612117395,1472.77459699167,1538.89325002924,1420.40195341097,1534.04383590997,1512.90585316821,4,2,9,4,7,3,6,5,"HOU","NY","DAL","NY","STL","HOU","NY","STL","HOU","LA"
1561.91148938423,1470.04328316228,1563.92540612509,1455.995976977,1527.12038472463,1402.34946484361,1544.1579346703,1474.49606011286,7,4,8,3,6,2,7,3,"HOU","STL","HOU","NY","STL","DAL","NY","DC","HOU","TB"
1493.8238963622,1497.16436216585,1592.2803289161,1453.87713301774,1516.03414190741,1419.86298620083,1530.88685536353,1496.07029606634,5,6,8,3,5,3,6,4,"HOU","DC","DAL","DC","STL","HOU","NY","DC","HOU","LA"
1532.28831044496,1452.44571411303,1611.17484530109,1456.8901029395,1508.08419400082,1419.35577796087,1562.12578538133,1457.63526985841,7,3,9,3,5,3,8,2,"HOU","STL","DAL","NY","STL","HOU","NY","STL","HOU","LA"
1496.1149286343,1471.07121824649,1589.9730122691,1456.34899510084,1528.11729962644,1419.44519577292,1546.03758839065,1492.89176195926,5,4,8,3,6,3,7,4,"HOU","STL","DAL","NY","STL","HOU","NY","STL","HOU","TB"
1463.08574907089,1532.73923333336,1559.84687339119,1500.2521649106,1520.13218618662,1420.46643891079,1491.06340019871,1512.41395399785,3,8,6,6,5,3,4,5,"LA","DC","LA","DC","NY","HOU","NY","DC","HOU","TB"
1526.90498802725,1484.00687921785,1583.86637311521,1437.50880714948,1515.48419556404,1418.42051917559,1560.91932434274,1472.88891340784,5,5,9,2,5,3,8,3,"HOU","STL","HOU","DC","STL","DAL","NY","DC","HOU","TB"
1482.10784583406,1468.67947808696,1594.05231880606,1522.09997110363,1536.60711866999,1383.8528801589,1518.55207585548,1494.04831148492,4,4,8,7,6,1,6,4,"HOU","STL","LA","STL","NY","HOU","NY","DC","HOU","LA"
1506.41205054943,1451.05113858741,1566.04166025971,1453.89666641153,1507.66497167702,1439.83931168598,1578.65382128653,1496.44037954239,5,3,8,3,5,4,8,4,"HOU","STL","HOU","NY","DAL","STL","NY","STL","HOU","LA"
1496.67122473599,1518.04452870111,1569.2775574898,1490.88151466652,1540.36666520165,1402.87249908946,1488.93690251126,1492.9491076042,5,5,8,5,7,2,4,4,"HOU","NY","DAL","NY","HOU","DC","NY","STL","HOU","LA"
1495.69684869128,1528.83240921129,1609.79651285801,1453.47284223505,1515.45931164187,1441.44041220065,1518.68254108062,1436.61912208122,5,7,9,3,5,4,6,1,"HOU","DC","DAL","STL","DC","HOU","NY","DC","HOU","LA"
1462.45432939863,1471.12333430476,1574.46331859013,1469.33264735501,1571.667204936,1417.86332650153,1539.60512792136,1493.49071099259,3,4,7,4,8,3,7,4,"HOU","NY","LA","STL","NY","HOU","NY","STL","HOU","TB"
1476.8275139984,1488.1396240899,1575.04213946571,1454.88122815474,1571.19532119509,1417.87739144267,1523.03895962782,1492.99782202568,4,5,7,3,8,3,6,4,"HOU","NY","DAL","STL","NY","HOU","NY","DC","HOU","TB"
1476.70778680434,1454.15555492494,1590.42706647341,1437.51623090997,1495.57331949143,1437.31308734622,1585.82362323446,1522.48333081524,4,3,9,2,4,4,8,6,"HOU","STL","DAL","TB","HOU","STL","NY","STL","HOU","TB"
1499.94499467891,1470.08326998906,1554.89313660261,1504.00560955578,1537.97850238439,1402.32532967733,1535.1413944801,1495.62776263181,5,4,6,6,6,2,7,4,"HOU","STL","LA","STL","NY","HOU","NY","DC","HOU","LA"
1483.7693179482,1498.78063816832,1587.41455563428,1455.48278662114,1497.65328282968,1434.15715350863,1552.47749599325,1490.26476929649,4,5,8,3,4,4,8,4,"HOU","STL","SEA","STL","DC","HOU","NY","STL","HOU","TB"
1506.80360565349,1451.99923054756,1582.01309784554,1455.37585196865,1545.99994011288,1420.91483718414,1579.74767770675,1457.14575898099,5,3,9,3,7,3,8,2,"HOU","STL","HOU","NY","DAL","STL","NY","STL","HOU","LA"
1496.24984237647,1483.71540880065,1589.52565933867,1473.96734558915,1555.86802487757,1400.95087585464,1509.39242124272,1490.33042192014,5,5,9,4,6,2,5,4,"HOU","NY","DAL","DC","HOU","NY","NY","DC","HOU","TB"
1464.3078615997,1489.6695028177,1615.92534092015,1446.11399629189,1555.06364103974,1400.9430900306,1490.98209818025,1536.99446911997,3,5,10,3,6,2,4,7,"DAL","TB","LA","TB","DAL","NY","NY","DC","HOU","TB"
1499.49403290756,1472.08792220103,1546.32590399331,1519.0521125857,1534.5691948366,1419.79202787137,1533.74853189314,1474.93027371129,5,4,7,5,6,3,7,3,"HOU","STL","HOU","STL","NY","LA","NY","STL","HOU","LA"
1505.89066873639,1453.41644988482,1616.43952975582,1497.77287005417,1525.08774413139,1383.78947414542,1521.04137120291,1496.56189208908,6,3,10,4,6,1,6,4,"DAL","STL","DAL","NY","STL","LA","NY","STL","HOU","LA"
1494.44017293324,1470.64536955911,1592.71369213925,1490.86304653387,1542.95129653232,1383.38215961923,1548.29433419182,1476.70992849116,5,4,8,5,7,1,7,3,"HOU","STL","DAL","NY","STL","HOU","NY","DC","HOU","LA"
1499.44079212713,1489.10604689563,1575.05649881338,1485.54036405824,1545.03349575445,1382.39512204103,1566.25747477416,1457.17020553598,5,5,7,5,7,1,8,2,"HOU","STL","LA","NY","STL","HOU","NY","DC","HOU","LA"
1526.11023191452,1470.69267666784,1584.8562000901,1475.99507884642,1548.03551481201,1419.44408572767,1490.52639128607,1484.33982065536,5,4,9,4,7,3,4,4,"HOU","NY","HOU","TB","NY","DAL","NY","DC","HOU","TB"
1474.43037091987,1502.92617162336,1556.30118930797,1453.26552587139,1533.30255296171,1439.38479114888,1563.25986780938,1477.12953035742,4,6,6,3,6,4,8,3,"HOU","STL","DAL","DC","STL","HOU","NY","STL","HOU","LA"
1443.93239233389,1488.62545881221,1590.04522957744,1469.39865714575,1560.97071863042,1419.4605341201,1554.0885342097,1473.47847517051,2,5,9,4,6,3,8,3,"HOU","STL","LA","STL","HOU","NY","NY","DC","HOU","TB"
1494.40571287821,1498.52588405167,1557.28631642563,1454.42600720648,1514.87649188636,1457.87506914781,1530.08949805894,1492.51502034489,5,6,6,3,5,5,6,4,"HOU","STL","DAL","DC","STL","HOU","NY","DC","HOU","TB"
1481.96521996701,1470.63486976428,1573.48725413309,1436.98524417983,1538.41104453455,1470.80301970793,1515.28191238015,1512.43143533316,4,4,7,2,6,6,6,5,"HOU","STL","SEA","STL","NY","HOU","NY","STL","HOU","TB"
1500.05540046473,1498.37268361514,1574.65123811402,1504.57334783683,1535.01610299975,1402.29118875477,1509.91175178024,1475.12828643453,5,6,7,6,6,2,5,3,"HOU","DC","LA","DC","NY","HOU","NY","DC","HOU","LA"
1462.93140133377,1489.16446305662,1609.87022955495,1469.41936348789,1515.50177005699,1400.51398024522,1515.59806117953,1537.00073108505,3,5,9,4,5,2,6,6,"HOU","STL","LA","STL","TB","HOU","NY","DC","HOU","TB"
1443.04451121657,1516.4724057197,1554.34133756145,1468.93012195329,1576.22910739472,1417.88990973272,1528.455008309,1494.63759811255,2,7,7,4,7,3,6,4,"HOU","DC","LA","DC","HOU","NY","NY","DC","HOU","TB"
1483.98049988762,1509.42308478404,1609.08391798388,1485.44203141658,1496.58290118636,1401.44685721451,1510.44513734977,1503.59557017725,4,6,9,5,4,2,5,5,"HOU","DC","LA","TB","DC","HOU","NY","DC","HOU","LA"
